id,percent_dem,total_votes,0001E,0002E,0002PE,0003E,0003PE,0005E,0005PE,0006E,0006PE,0007E,0007PE,0008E,0008PE,0009E,0009PE,0010E,0010PE,0011E,0011PE,0012E,0012PE,0013E,0013PE,0014E,0014PE,0015E,0015PE,0016E,0016PE,0017E,0017PE,0018E,0019E,0019PE,0020E,0020PE,0021E,0021PE,0022E,0022PE,0023E,0023PE,0024E,0024PE,0025E,0025PE,0026E,0026PE,0027E,0027PE,0029E,0029PE,0030E,0030PE,0031E,0031PE,0033E,0033PE,0034E,0034PE,0035E,0035PE,0036E,0036PE,0037E,0037PE,0038E,0038PE,0039E,0039PE,0040E,0040PE,0041E,0041PE,0042E,0042PE,0043E,0043PE,0044E,0044PE,0045E,0045PE,0046E,0046PE,0047E,0047PE,0048E,0048PE,0049E,0049PE,0050E,0050PE,0051E,0051PE,0052E,0052PE,0053E,0053PE,0054E,0054PE,0055E,0055PE,0056E,0056PE,0057E,0057PE,0058E,0058PE,0059E,0059PE,0060E,0060PE,0061E,0061PE,0062E,0062PE,0064E,0064PE,0065E,0065PE,0066E,0066PE,0067E,0067PE,0068E,0068PE,0069E,0069PE,0071E,0071PE,0072E,0072PE,0073E,0073PE,0074E,0074PE,0075E,0075PE,0076E,0076PE,0077E,0077PE,0078E,0078PE,0079E,0079PE,0080E,0080PE,0081E,0081PE,0082E,0082PE,0083E,0083PE,0084E,0084PE,0085E,0085PE,0086E,0087E,0088E,0088PE,0089E,0089PE,C01_001E,C01_002E,C01_003E,C01_004E,C01_005E,C01_006E,C01_007E,C01_008E,C01_009E,C01_010E,C01_011E,C01_012E,C01_013E,C01_014E,C01_015E,C01_016E,C01_017E,C01_018E,C01_019E,C01_020E,C01_021E,C01_022E,C01_023E,C01_024E,C01_025E,C01_026E,C01_027E,C02_002E,C02_003E,C02_004E,C02_005E,C02_007E,C02_008E,C02_009E,C02_010E,C02_011E,C02_012E,C02_013E,C02_014E,C02_015E,C02_017E,C02_018E,C02_020E,C02_021E,C02_023E,C02_024E,C02_026E,C02_027E
1,0.392166018,19275,47118,23084,49,24034,51,2609,5.5,2661,5.6,2555,5.4,4742,10.1,8809,18.7,5844,12.4,4650,9.9,4272,9.1,2513,5.3,2041,4.3,3639,7.7,1872,4,911,1.9,28.1,9426,20,38944,82.7,37692,80,32088,68.1,7504,15.9,6422,13.6,37692,37692,18224,48.3,19468,51.7,6422,6422,2746,42.8,3676,57.2,47118,47118,46349,98.4,769,1.6,46349,98.4,25623,54.4,18973,40.3,56,0.1,21,0,0,0,0,0,0,0,735,1.6,110,0.2,293,0.6,43,0.1,49,0.1,0,0,177,0.4,63,0.1,1,0,0,0,0,0,0,0,1,0,961,2,769,1.6,239,0.5,241,0.5,57,0.1,36,0.1,26311,55.8,19306,41,340,0.7,812,1.7,1,0,1137,2.4,1456,3.1,977,2.1,189,0.4,100,0.2,190,0.4,45662,96.9,25088,53.2,18891,40.1,38,0.1,735,1.6,1,0,316,0.7,593,1.3,0,0,593,1.3,20431,36617,17474,47.7,19143,52.3,11950,790,2061,7978,1121,25742,891,1997,7143,5094,1566,5380,3671,22854,9051,5844,5258,2539,4650,4054,1614,8826,7841,2592,6422,5701,2306,6.6,17.2,66.8,9.4,3.5,7.8,27.7,19.8,6.1,20.9,14.3,88.8,35.2,90,43.4,87.2,34.7,88.8,29.4,88.8,35.9
2,0.3471477,25891,66969,33906,50.6,33063,49.4,4781,7.1,4602,6.9,5503,8.2,4829,7.2,4238,6.3,8894,13.3,8675,13,7764,11.6,4031,6,3704,5.5,5909,8.8,2934,4.4,1105,1.7,35.6,18001,26.9,51053,76.2,48968,73.1,46607,69.6,12046,18,9948,14.9,48968,48968,24482,50,24486,50,9948,9948,4608,46.3,5340,53.7,66969,66969,62329,93.1,4640,6.9,62329,93.1,58611,87.5,1106,1.7,139,0.2,64,0.1,0,0,0,0,0,0,580,0.9,81,0.1,103,0.2,144,0.2,10,0,171,0.3,7,0,64,0.1,71,0.1,4,0,0,0,67,0.1,0,0,1822,2.7,4640,6.9,695,1,226,0.3,243,0.4,7,0,63062,94.2,1915,2.9,515,0.8,994,1.5,205,0.3,5128,7.7,38941,58.1,36523,54.5,157,0.2,151,0.2,2110,3.2,28028,41.9,25350,37.9,988,1.5,65,0.1,573,0.9,50,0.1,66,0.1,936,1.4,72,0.1,864,1.3,28652,47102,23290,49.4,23812,50.6,5952,1072,2943,1694,243,43016,3631,4373,14089,10811,3281,4637,2194,35012,6831,8894,7478,1056,8675,7518,1483,15499,12954,2640,9948,7062,1652,18,49.4,28.5,4.1,8.4,10.2,32.8,25.1,7.6,10.8,5.1,81.4,15.9,84.1,11.9,86.7,17.1,83.6,17,71,16.6
4,0.5094882,40735,81579,38464,47.1,43115,52.9,4819,5.9,4892,6,5746,7,5541,6.8,4895,6,9821,12,9302,11.4,10393,12.7,5560,6.8,5800,7.1,8822,10.8,4357,5.3,1631,2,40.5,18749,23,64878,79.5,62830,77,59599,73.1,18523,22.7,14810,18.2,62830,62830,29091,46.3,33739,53.7,14810,14810,6385,43.1,8425,56.9,81579,81579,79031,96.9,2548,3.1,79031,96.9,40722,49.9,32464,39.8,401,0.5,60,0.1,6,0,0,0,0,0,516,0.6,143,0.2,59,0.1,28,0,39,0,46,0.1,43,0.1,158,0.2,0,0,0,0,0,0,0,0,0,0,4928,6,2548,3.1,852,1,168,0.2,577,0.7,138,0.2,42976,52.7,33662,41.3,783,1,1098,1.3,104,0.1,5593,6.9,8577,10.5,6338,7.8,341,0.4,360,0.4,1538,1.9,73002,89.5,38035,46.6,32159,39.4,219,0.3,516,0.6,0,0,111,0.1,1962,2.4,256,0.3,1706,2.1,36332,59860,27409,45.8,32451,54.2,7144,1713,2508,2303,620,55686,3989,6355,18080,11043,5065,7438,3716,45342,11154,9821,8083,1816,9302,7750,2293,21753,18524,4486,14810,10985,2559,24,35.1,32.2,8.7,7.2,11.4,32.5,19.8,9.1,13.4,6.7,81.4,20,82.3,18.5,83.3,24.7,85.2,20.6,74.2,17.3
5,0.5745893,168134,284698,139329,48.9,145369,51.1,16482,5.8,17447,6.1,16853,5.9,16431,5.8,16648,5.8,41533,14.6,38407,13.5,34654,12.2,17958,6.3,19172,6.7,30658,10.8,13247,4.7,5208,1.8,39.1,60983,21.4,230982,81.1,223715,78.6,214485,75.3,60508,21.3,49113,17.3,223715,223715,107904,48.2,115811,51.8,49113,49113,21943,44.7,27170,55.3,284698,284698,262608,92.2,22090,7.8,262608,92.2,226452,79.5,8546,3,3310,1.2,88,0,47,0,16,0,169,0.1,16360,5.7,807,0.3,1772,0.6,3830,1.3,795,0.3,3160,1.1,2881,1,3115,1.1,2559,0.9,430,0.2,756,0.3,685,0.2,688,0.2,5381,1.9,22090,7.8,4437,1.6,3966,1.4,5733,2,113,0,247109,86.8,15176,5.3,8747,3.1,24243,8.5,4240,1.5,10192,3.6,26375,9.3,16861,5.9,2666,0.9,320,0.1,6528,2.3,258323,90.7,210483,73.9,8212,2.9,2919,1,16193,5.7,2555,0.9,727,0.3,17234,6.1,1232,0.4,16002,5.6,118035,215122,104469,48.6,110653,51.4,22878,3177,8136,9624,1941,200837,4050,8217,43782,50905,22098,44566,27219,188570,71785,41533,39342,14087,38407,35537,14147,71784,68047,25480,49113,45644,18071,13.9,35.6,42.1,8.5,2,4.1,21.8,25.3,11,22.2,13.6,93.9,35.7,94.7,33.9,92.5,36.8,94.8,35.5,92.9,36.8
6,0.2971902,2776,6477,2899,44.8,3578,55.2,338,5.2,403,6.2,416,6.4,593,9.2,709,10.9,733,11.3,527,8.1,866,13.4,272,4.2,452,7,646,10,384,5.9,138,2.1,35.6,1338,20.7,5252,81.1,5139,79.3,4631,71.5,1415,21.8,1168,18,5139,5139,2318,45.1,2821,54.9,1168,1168,473,40.5,695,59.5,6477,6477,6222,96.1,255,3.9,6222,96.1,5729,88.5,389,6,7,0.1,0,0,0,0,0,0,0,0,23,0.4,0,0,0,0,0,0,0,0,0,0,23,0.4,0,0,20,0.3,20,0.3,0,0,0,0,0,0,54,0.8,255,3.9,15,0.2,215,3.3,6,0.1,0,0,5971,92.2,415,6.4,230,3.6,40,0.6,20,0.3,62,1,92,1.4,33,0.5,0,0,0,0,59,0.9,6385,98.6,5690,87.8,389,6,7,0.1,23,0.4,20,0.3,7,0.1,249,3.8,8,0.1,241,3.7,2866,5087,2318,45.6,2769,54.4,1121,29,244,803,45,4018,180,634,1356,896,185,407,360,3204,767,733,603,144,527,459,113,1590,1263,388,1168,879,122,2.6,21.8,71.6,4,4.5,15.8,33.7,22.3,4.6,10.1,9,79.7,19.1,82.3,19.6,87.1,21.4,79.4,24.4,75.3,10.4
7,0.2644473,34574,87119,42613,48.9,44506,51.1,5814,6.7,5503,6.3,7114,8.2,5923,6.8,5434,6.2,11261,12.9,10434,12,10775,12.4,5687,6.5,5090,5.8,8119,9.3,4328,5,1637,1.9,37.6,22197,25.5,67345,77.3,64922,74.5,61486,70.6,17141,19.7,14084,16.2,64922,64922,31397,48.4,33525,51.6,14084,14084,6195,44,7889,56,87119,87119,84321,96.8,2798,3.2,84321,96.8,67464,77.4,13194,15.1,270,0.3,16,0,0,0,0,0,0,0,968,1.1,301,0.3,110,0.1,327,0.4,21,0,9,0,130,0.1,70,0.1,5,0,0,0,5,0,0,0,0,0,2420,2.8,2798,3.2,342,0.4,470,0.5,38,0,14,0,70221,80.6,13630,15.6,990,1.1,1048,1.2,5,0,4313,5,19418,22.3,17552,20.1,275,0.3,52,0.1,1539,1.8,67701,77.7,52457,60.2,13138,15.1,52,0.1,946,1.1,5,0,143,0.2,960,1.1,39,0,921,1.1,37087,60407,29294,48.5,31113,51.5,7591,694,3257,3200,440,57331,4291,5450,17634,14846,4685,7153,3272,47590,10425,11261,10080,2193,10434,9317,2366,21552,17344,3627,14084,10849,2239,9.1,42.9,42.2,5.8,7.5,9.5,30.8,25.9,8.2,12.5,5.7,83,18.2,89.5,19.5,89.3,22.7,80.5,16.8,77,15.9
8,0.3783793,87148,150000,74009,49.3,75991,50.7,7839,5.2,8401,5.6,9743,6.5,9180,6.1,8694,5.8,17658,11.8,17488,11.7,20711,13.8,12104,8.1,11022,7.3,16172,10.8,7707,5.1,3281,2.2,42.8,32047,21.4,122171,81.4,117953,78.6,112745,75.2,33540,22.4,27160,18.1,117953,117953,57796,49,60157,51,27160,27160,12300,45.3,14860,54.7,150000,150000,146114,97.4,3886,2.6,146114,97.4,140412,93.6,3620,2.4,431,0.3,0,0,153,0.1,0,0,0,0,777,0.5,150,0.1,152,0.1,138,0.1,36,0,156,0.1,42,0,103,0.1,2,0,0,0,2,0,0,0,0,0,872,0.6,3886,2.6,1442,1,839,0.6,610,0.4,12,0,144174,96.1,5196,3.5,1360,0.9,1501,1,125,0.1,1631,1.1,5527,3.7,3907,2.6,507,0.3,110,0.1,1003,0.7,144473,96.3,136372,90.9,3555,2.4,431,0.3,775,0.5,0,0,176,0.1,3164,2.1,334,0.2,2830,1.9,64760,116659,57081,48.9,59578,51.1,11810,1740,3830,5580,660,106143,2085,7019,36223,25697,12778,14465,7876,97039,22341,17658,16568,4232,17488,16496,4527,43837,40525,8667,27160,23450,4915,14.7,32.4,47.2,5.6,2,6.6,34.1,24.2,12,13.6,7.4,91.4,21,93.8,24,94.3,25.9,92.4,19.8,86.3,18.1
9,0.2293434,12139,27942,13795,49.4,14147,50.6,1610,5.8,1746,6.2,1811,6.5,1803,6.5,1521,5.4,3240,11.6,3362,12,3902,14,2268,8.1,1919,6.9,2863,10.2,1538,5.5,359,1.3,41.2,6399,22.9,22299,79.8,21543,77.1,20798,74.4,5916,21.2,4760,17,21543,21543,10612,49.3,10931,50.7,4760,4760,2177,45.7,2583,54.3,27942,27942,27498,98.4,444,1.6,27498,98.4,27307,97.7,18,0.1,10,0,10,0,0,0,0,0,0,0,96,0.3,0,0,22,0.1,6,0,0,0,66,0.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,67,0.2,444,1.6,174,0.6,149,0.5,29,0.1,0,0,27731,99.2,225,0.8,169,0.6,135,0.5,41,0.1,112,0.4,374,1.3,295,1.1,0,0,0,0,79,0.3,27568,98.7,27012,96.7,18,0.1,10,0,96,0.3,0,0,13,0,419,1.5,20,0.1,399,1.4,12454,21495,10609,49.4,10886,50.6,2092,389,829,740,134,19451,912,1968,8282,3972,1911,1771,635,16571,2406,3240,2962,477,3362,3109,591,8089,6877,886,4760,3623,452,18.6,39.6,35.4,6.4,4.7,10.1,42.6,20.4,9.8,9.1,3.3,85.2,12.4,91.4,14.7,92.5,17.6,85,11,76.1,9.5
10,0.4063492,12285,30107,14569,48.4,15538,51.6,1390,4.6,1207,4,1703,5.7,3179,10.6,4472,14.9,3509,11.7,2959,9.8,2797,9.3,1764,5.9,1770,5.9,2923,9.7,1380,4.6,1054,3.5,33.7,5144,17.1,25533,84.8,24963,82.9,21411,71.1,6480,21.5,5357,17.8,24963,24963,11968,47.9,12995,52.1,5357,5357,2326,43.4,3031,56.6,30107,30107,29261,97.2,846,2.8,29261,97.2,26907,89.4,1475,4.9,32,0.1,7,0,0,0,0,0,0,0,701,2.3,244,0.8,95,0.3,141,0.5,0,0,121,0.4,0,0,100,0.3,0,0,0,0,0,0,0,0,0,0,146,0.5,846,2.8,413,1.4,133,0.4,133,0.4,1,0,27744,92.2,1971,6.5,248,0.8,834,2.8,4,0,230,0.8,860,2.9,671,2.2,32,0.1,13,0,144,0.5,29247,97.1,26341,87.5,1453,4.8,31,0.1,701,2.3,0,0,52,0.2,669,2.2,19,0.1,650,2.2,14392,24576,11832,48.1,12744,51.9,6807,481,1108,4787,431,18156,258,609,5590,3889,1931,2896,2983,17289,5879,3509,3421,1338,2959,2916,1259,6331,6021,1832,5357,4931,1450,7.1,16.3,70.3,6.3,1.4,3.4,30.8,21.4,10.6,16,16.4,95.2,32.4,97.5,38.1,98.5,42.5,95.1,28.9,92,27.1
11,0.1881773,4060,11745,5905,50.3,5840,49.7,895,7.6,889,7.6,971,8.3,802,6.8,819,7,1570,13.4,1609,13.7,1275,10.9,652,5.6,666,5.7,903,7.7,528,4.5,166,1.4,34.3,3347,28.5,8765,74.6,8398,71.5,8084,68.8,1894,16.1,1597,13.6,8398,8398,4277,50.9,4121,49.1,1597,1597,703,44,894,56,11745,11745,11391,97,354,3,11391,97,10033,85.4,567,4.8,171,1.5,36,0.3,35,0.3,15,0.1,0,0,64,0.5,0,0,41,0.3,8,0.1,0,0,0,0,15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,556,4.7,354,3,15,0.1,46,0.4,7,0.1,0,0,10379,88.4,587,5,220,1.9,74,0.6,0,0,839,7.1,6372,54.3,6236,53.1,8,0.1,0,0,128,1.1,5373,45.7,4624,39.4,567,4.8,68,0.6,64,0.5,0,0,0,0,50,0.4,0,0,50,0.4,4835,7973,4007,50.3,3966,49.7,1029,264,531,179,55,7369,812,695,2690,1859,463,671,179,5862,850,1570,1386,184,1609,1409,195,2593,2007,208,1597,1060,263,25.7,51.6,17.4,5.3,11,9.4,36.5,25.2,6.3,9.1,2.4,79.5,11.5,88.3,11.7,87.6,12.1,77.4,8,66.4,16.5
